goterm	gene	cv	fdr
GO:0071704	PDS5A	0.49	0.486
GO:0071704	UBR2	0.35	0.681
GO:0071704	USP24	0.4	0.742
GO:0071704	CBX5	0.39	0.396
GO:0071704	SRRM2	0.27	0.837
GO:0071704	FOSB	0.57	0.00324
GO:0071704	RNF169	0.37	0.721
GO:0071704	DIEXF	0.36	0.497
GO:0071704	AFF4	0.22	0.808
GO:0071704	TNRC6A	0.35	0.788
GO:0071704	GTF3C1	0.39	0.803
GO:0071704	HIVEP1	0.37	0.704
GO:0071704	HIVEP2	0.47	0.724
GO:0071704	NR4A1	0.42	0.186
GO:0071704	TNC	0.45	0.776
GO:0071704	ZKSCAN2	0.42	0.348
GO:0071704	LRP1	0.43	0.107
GO:0071704	MKI67	0.62	0.000134
GO:0071704	NF1	0.47	0.588
GO:0071704	NKTR	0.36	0.717
GO:0071704	NOTCH2	0.43	0.438
GO:0071704	NUP98	0.65	3.76e-13
GO:0071704	PAPPA	1.1	0
GO:0071704	UBR5	0.33	0.235
GO:0071704	PIK3CA	0.36	0.507
GO:0071704	SSH1	0.33	0.713
GO:0071704	PHIP	0.47	0.331
GO:0071704	PRKCA	0.24	0.781
GO:0071704	PRKDC	0.36	0.732
GO:0071704	KIDINS220	0.39	0.81
GO:0071704	CHD8	0.55	0.000505
GO:0071704	PTPN14	0.38	0.818
GO:0071704	RAB3B	0.41	0.63
GO:0071704	REV3L	0.34	0.257
GO:0071704	SLC5A3	0.54	0.0522
GO:0071704	SON	0.38	0.832
GO:0071704	SPTAN1	0.31	0.695
GO:0071704	SPTBN1	0.41	0.642
GO:0071704	BRCA2	0.4	0.424
GO:0071704	TEAD1	0.61	0
GO:0071704	THBS1	0.83	0
GO:0071704	TLN1	0.45	0.844
GO:0071704	TPR	0.36	0.709
GO:0071704	CACNA1A	0.41	0.38
GO:0071704	THSD4	0.24	0.815
GO:0071704	NRIP1	0.23	0.79
GO:0071704	USP9X	0.31	0.813
GO:0071704	FZD4	0.32	0.691
GO:0071704	SMARCA5	0.43	0.0787
GO:0071704	AGPS	0.42	0.555
GO:0071704	DOCK7	0.35	0.786
GO:0071704	HELZ2	0.39	0.546
GO:0071704	CBL	0.42	0.623
GO:0071704	IQGAP1	0.35	0.797
GO:0071704	HERC2	0.42	0.596
GO:0071704	DSEL	0.3	0.833
GO:0071704	MED14	0.45	0.364
GO:0071704	GTF3C4	0.24	0.755
GO:0071704	ROCK2	0.51	0.00105
GO:0071704	H6PD	0.38	0.839
GO:0071704	USP34	0.29	0.766
GO:0048522	LYST	0.31	0.572
GO:0048522	CREBBP	0.39	0.779
GO:0048522	AMOTL1	0.3	0.792
GO:0048522	EGFR	0.39	0.7
GO:0048522	FASN	0.55	1.36e-09
GO:0048522	FBN2	0.62	0.00756
GO:0048522	FLNA	0.45	0.728
GO:0048522	FOSB	0.57	0.00324
GO:0048522	TMOD2	0.4	0.537
GO:0048522	NR4A1	0.42	0.186
GO:0048522	TNC	0.45	0.776
GO:0048522	NF1	0.47	0.588
GO:0048522	NOTCH2	0.43	0.438
GO:0048522	UBR5	0.33	0.235
GO:0048522	PIK3CA	0.36	0.507
GO:0048522	PHIP	0.47	0.331
GO:0048522	PRKCA	0.24	0.781
GO:0048522	PRKDC	0.36	0.732
GO:0048522	KIDINS220	0.39	0.81
GO:0048522	CHD8	0.55	0.000505
GO:0048522	RAB3B	0.41	0.63
GO:0048522	SPTAN1	0.31	0.695
GO:0048522	SPTBN1	0.41	0.642
GO:0048522	BRCA2	0.4	0.424
GO:0048522	THBS1	0.83	0
GO:0048522	TPR	0.36	0.709
GO:0048522	NRIP1	0.23	0.79
GO:0048522	FZD4	0.32	0.691
GO:0048522	DOCK7	0.35	0.786
GO:0048522	HELZ2	0.39	0.546
GO:0048522	CBL	0.42	0.623
GO:0048522	IQGAP1	0.35	0.797
GO:0048522	MED14	0.45	0.364
GO:0048522	ROCK2	0.51	0.00105
GO:0048522	USP34	0.29	0.766
GO:0048522	PIEZO1	0.29	0.648
GO:0051248	CENPF	0.43	0.603
GO:0051248	COL7A1	1.24	3.41e-35
GO:0051248	EGFR	0.39	0.7
GO:0051248	FLNA	0.45	0.728
GO:0051248	TNRC6A	0.35	0.788
GO:0051248	NF1	0.47	0.588
GO:0051248	UBR5	0.33	0.235
GO:0051248	PRKCA	0.24	0.781
GO:0051248	PRKDC	0.36	0.732
GO:0051248	THBS1	0.83	0
GO:0051248	TPR	0.36	0.709
GO:0051248	ROCK2	0.51	0.00105
GO:0000059	NUP98	0.65	3.76e-13
GO:0000187	THBS1	0.83	0
GO:0001818	THBS1	0.83	0
GO:0001885	ROCK2	0.51	0.00105
GO:0002274	THBS1	0.83	0
GO:0002468	THBS1	0.83	0
GO:0002544	THBS1	0.83	0
GO:0002577	THBS1	0.83	0
GO:0002578	THBS1	0.83	0
GO:0002580	THBS1	0.83	0
GO:0002581	THBS1	0.83	0
GO:0002604	THBS1	0.83	0
GO:0002605	THBS1	0.83	0
GO:0002685	THBS1	0.83	0
GO:0002687	THBS1	0.83	0
GO:0002688	THBS1	0.83	0
GO:0002690	THBS1	0.83	0
GO:0003151	THBS1	0.83	0
GO:0003158	ROCK2	0.51	0.00105
GO:0003197	THBS1	0.83	0
GO:0003416	THBS1	0.83	0
GO:0003417	THBS1	0.83	0
GO:0006084	FASN	0.55	1.36e-09
GO:0006359	CHD8	0.55	0.000505
GO:0006493	THBS1	0.83	0
GO:0006575	FASN	0.55	1.36e-09
GO:0006631	FASN	0.55	1.36e-09
GO:0006633	FASN	0.55	1.36e-09
GO:0006637	FASN	0.55	1.36e-09
GO:0006638	FASN	0.55	1.36e-09
GO:0006639	FASN	0.55	1.36e-09
GO:0006641	FASN	0.55	1.36e-09
GO:0006766	FASN	0.55	1.36e-09
GO:0006767	FASN	0.55	1.36e-09
GO:0006911	THBS1	0.83	0
GO:0006939	ROCK2	0.51	0.00105
GO:0007263	THBS1	0.83	0
GO:0007266	ROCK2	0.51	0.00105
GO:0009108	FASN	0.55	1.36e-09
GO:0010324	THBS1	0.83	0
GO:0010596	THBS1	0.83	0
GO:0010633	THBS1	0.83	0
GO:0010746	THBS1	0.83	0
GO:0010748	THBS1	0.83	0
GO:0010749	THBS1	0.83	0
GO:0010751	THBS1	0.83	0
GO:0010752	THBS1	0.83	0
GO:0010754	THBS1	0.83	0
GO:0010755	THBS1	0.83	0
GO:0010757	THBS1	0.83	0
GO:0010758	THBS1	0.83	0
GO:0010759	THBS1	0.83	0
GO:0010761	THBS1	0.83	0
GO:0010762	THBS1	0.83	0
GO:0010763	THBS1	0.83	0
GO:0010921	ROCK2	0.51	0.00105
GO:0010923	ROCK2	0.51	0.00105
GO:0010955	THBS1	0.83	0
GO:0014072	FOSB	0.57	0.00324
GO:0015908	THBS1	0.83	0
GO:0015909	THBS1	0.83	0
GO:0015911	THBS1	0.83	0
GO:0015939	FASN	0.55	1.36e-09
GO:0016485	THBS1	0.83	0
GO:0018149	THBS1	0.83	0
GO:0019432	FASN	0.55	1.36e-09
GO:0019934	THBS1	0.83	0
GO:0019935	THBS1	0.83	0
GO:0030194	THBS1	0.83	0
GO:0030195	THBS1	0.83	0
GO:0030212	MKI67	0.62	0.000134
GO:0030278	FBN2	0.62	0.00756
GO:0030282	FBN2	0.62	0.00756
GO:0030500	FBN2	0.62	0.00756
GO:0030501	FBN2	0.62	0.00756
GO:0030511	THBS1	0.83	0
GO:0030823	THBS1	0.83	0
GO:0030856	ROCK2	0.51	0.00105
GO:0031100	MKI67	0.62	0.000134
GO:0031214	FBN2	0.62	0.00756
GO:0031638	THBS1	0.83	0
GO:0031639	THBS1	0.83	0
GO:0031960	FOSB	0.57	0.00324
GO:0032026	THBS1	0.83	0
GO:0032102	THBS1	0.83	0
GO:0032369	THBS1	0.83	0
GO:0032515	ROCK2	0.51	0.00105
GO:0032615	THBS1	0.83	0
GO:0032640	THBS1	0.83	0
GO:0032655	THBS1	0.83	0
GO:0032680	THBS1	0.83	0
GO:0032695	THBS1	0.83	0
GO:0032760	THBS1	0.83	0
GO:0032878	ROCK2	0.51	0.00105
GO:0032890	THBS1	0.83	0
GO:0032891	THBS1	0.83	0
GO:0032905	THBS1	0.83	0
GO:0032908	THBS1	0.83	0
GO:0032914	THBS1	0.83	0
GO:0033574	ROCK2	0.51	0.00105
GO:0034250	THBS1	0.83	0
GO:0034599	THBS1	0.83	0
GO:0034614	THBS1	0.83	0
GO:0034763	THBS1	0.83	0
GO:0034766	THBS1	0.83	0
GO:0035265	THBS1	0.83	0
GO:0035304	ROCK2	0.51	0.00105
GO:0035308	ROCK2	0.51	0.00105
GO:0035336	FASN	0.55	1.36e-09
GO:0035337	FASN	0.55	1.36e-09
GO:0035338	FASN	0.55	1.36e-09
GO:0035383	FASN	0.55	1.36e-09
GO:0035384	FASN	0.55	1.36e-09
GO:0035507	ROCK2	0.51	0.00105
GO:0035509	ROCK2	0.51	0.00105
GO:0036065	THBS1	0.83	0
GO:0036066	THBS1	0.83	0
GO:0040036	THBS1	0.83	0
GO:0040037	THBS1	0.83	0
GO:0042035	THBS1	0.83	0
GO:0042089	THBS1	0.83	0
GO:0042107	THBS1	0.83	0
GO:0042108	THBS1	0.83	0
GO:0042116	THBS1	0.83	0
GO:0042533	THBS1	0.83	0
GO:0042534	THBS1	0.83	0
GO:0042535	THBS1	0.83	0
GO:0042730	THBS1	0.83	0
GO:0043030	THBS1	0.83	0
GO:0043032	THBS1	0.83	0
GO:0043154	THBS1	0.83	0
GO:0043271	THBS1	0.83	0
GO:0043278	FOSB	0.57	0.00324
GO:0043281	THBS1	0.83	0
GO:0043297	ROCK2	0.51	0.00105
GO:0043537	THBS1	0.83	0
GO:0043652	THBS1	0.83	0
GO:0043666	ROCK2	0.51	0.00105
GO:0045446	ROCK2	0.51	0.00105
GO:0045601	ROCK2	0.51	0.00105
GO:0045604	ROCK2	0.51	0.00105
GO:0045616	ROCK2	0.51	0.00105
GO:0045667	FBN2	0.62	0.00756
GO:0045669	FBN2	0.62	0.00756
GO:0045682	ROCK2	0.51	0.00105
GO:0045727	THBS1	0.83	0
GO:0045778	FBN2	0.62	0.00756
GO:0045945	CHD8	0.55	0.000505
GO:0046068	THBS1	0.83	0
GO:0046460	FASN	0.55	1.36e-09
GO:0046463	FASN	0.55	1.36e-09
GO:0046931	NUP98	0.65	3.76e-13
GO:0046949	FASN	0.55	1.36e-09
GO:0048246	THBS1	0.83	0
GO:0048521	THBS1	0.83	0
GO:0050819	THBS1	0.83	0
GO:0050820	THBS1	0.83	0
GO:0050922	THBS1	0.83	0
GO:0051188	FASN	0.55	1.36e-09
GO:0051292	NUP98	0.65	3.76e-13
GO:0051384	FOSB	0.57	0.00324
GO:0051385	FOSB	0.57	0.00324
GO:0051412	FOSB	0.57	0.00324
GO:0051591	FOSB	0.57	0.00324
GO:0051604	THBS1	0.83	0
GO:0051895	THBS1	0.83	0
GO:0051917	THBS1	0.83	0
GO:0051918	THBS1	0.83	0
GO:0060343	FBN2	0.62	0.00756
GO:0060346	FBN2	0.62	0.00756
GO:0060348	THBS1	0.83	0
GO:0060349	THBS1	0.83	0
GO:0060350	THBS1	0.83	0
GO:0060351	THBS1	0.83	0
GO:0060359	FOSB	0.57	0.00324
GO:0061028	ROCK2	0.51	0.00105
GO:0061045	THBS1	0.83	0
GO:0061383	FBN2	0.62	0.00756
GO:0061430	FBN2	0.62	0.00756
GO:0070167	FBN2	0.62	0.00756
GO:0070169	FBN2	0.62	0.00756
GO:0070613	THBS1	0.83	0
GO:0070670	FASN	0.55	1.36e-09
GO:0070830	ROCK2	0.51	0.00105
GO:0071353	FASN	0.55	1.36e-09
GO:0071394	ROCK2	0.51	0.00105
GO:0071604	THBS1	0.83	0
GO:0071616	FASN	0.55	1.36e-09
GO:0071622	THBS1	0.83	0
GO:0071634	THBS1	0.83	0
GO:0071636	THBS1	0.83	0
GO:0071674	THBS1	0.83	0
GO:0071675	THBS1	0.83	0
GO:0071706	THBS1	0.83	0
GO:0071731	THBS1	0.83	0
GO:0071732	THBS1	0.83	0
GO:0072574	MKI67	0.62	0.000134
GO:0072575	MKI67	0.62	0.000134
GO:0072576	MKI67	0.62	0.000134
GO:0072577	THBS1	0.83	0
GO:0090090	CHD8	0.55	0.000505
GO:0090100	THBS1	0.83	0
GO:0090303	THBS1	0.83	0
GO:1900047	THBS1	0.83	0
GO:1900048	THBS1	0.83	0
GO:1901550	ROCK2	0.51	0.00105
GO:1901655	ROCK2	0.51	0.00105
GO:1902001	THBS1	0.83	0
GO:1902170	THBS1	0.83	0
GO:1903035	THBS1	0.83	0
GO:1903140	ROCK2	0.51	0.00105
GO:1903317	THBS1	0.83	0
GO:1903318	THBS1	0.83	0
GO:1903347	ROCK2	0.51	0.00105
GO:1903392	THBS1	0.83	0
GO:1903555	THBS1	0.83	0
GO:1903557	THBS1	0.83	0
GO:1903792	THBS1	0.83	0
GO:1903846	THBS1	0.83	0
GO:1903959	THBS1	0.83	0
GO:1903960	THBS1	0.83	0
GO:1904019	THBS1	0.83	0
GO:1904035	THBS1	0.83	0
GO:1904037	THBS1	0.83	0
GO:1990705	MKI67	0.62	0.000134
GO:2000114	ROCK2	0.51	0.00105
GO:2000116	THBS1	0.83	0
GO:2000117	THBS1	0.83	0
GO:2000191	THBS1	0.83	0
GO:2000192	THBS1	0.83	0
GO:2000351	THBS1	0.83	0
GO:2000353	THBS1	0.83	0
GO:2000810	ROCK2	0.51	0.00105
GO:2001026	THBS1	0.83	0
GO:2001027	THBS1	0.83	0
GO:0009892	CENPF	0.43	0.603
GO:0009892	POLQ	0.39	0.211
GO:0009892	COL7A1	1.24	3.41e-35
GO:0009892	CREBBP	0.39	0.779
GO:0009892	EGFR	0.39	0.7
GO:0009892	LMTK2	0.32	0.735
GO:0009892	FLNA	0.45	0.728
GO:0009892	PDS5A	0.49	0.486
GO:0009892	UBR2	0.35	0.681
GO:0009892	CBX5	0.39	0.396
GO:0009892	FOSB	0.57	0.00324
GO:0009892	RNF169	0.37	0.721
GO:0009892	TNRC6A	0.35	0.788
GO:0009892	HIVEP1	0.37	0.704
GO:0009892	NF1	0.47	0.588
GO:0009892	UBR5	0.33	0.235
GO:0009892	PRKCA	0.24	0.781
GO:0009892	PRKDC	0.36	0.732
GO:0009892	CHD8	0.55	0.000505
GO:0009892	BRCA2	0.4	0.424
GO:0009892	THBS1	0.83	0
GO:0009892	TPR	0.36	0.709
GO:0009892	CACNA1A	0.41	0.38
GO:0009892	NRIP1	0.23	0.79
GO:0009892	USP9X	0.31	0.813
GO:0009892	SMARCA5	0.43	0.0787
GO:0009892	IQGAP1	0.35	0.797
GO:0009892	ROCK2	0.51	0.00105
GO:0009893	CREBBP	0.39	0.779
GO:0009893	EGFR	0.39	0.7
GO:0009893	FASN	0.55	1.36e-09
GO:0009893	SIPA1L3	0.36	0.774
GO:0009893	FOSB	0.57	0.00324
GO:0009893	NR4A1	0.42	0.186
GO:0009893	TNC	0.45	0.776
GO:0009893	NF1	0.47	0.588
GO:0009893	PIK3CA	0.36	0.507
GO:0009893	PHIP	0.47	0.331
GO:0009893	PRKCA	0.24	0.781
GO:0009893	PRKDC	0.36	0.732
GO:0009893	KIDINS220	0.39	0.81
GO:0009893	CHD8	0.55	0.000505
GO:0009893	SPTAN1	0.31	0.695
GO:0009893	SPTBN1	0.41	0.642
GO:0009893	BRCA2	0.4	0.424
GO:0009893	THBS1	0.83	0
GO:0009893	TPR	0.36	0.709
GO:0009893	NRIP1	0.23	0.79
GO:0009893	FZD4	0.32	0.691
GO:0009893	DOCK7	0.35	0.786
GO:0009893	HELZ2	0.39	0.546
GO:0009893	IQGAP1	0.35	0.797
GO:0009893	HERC2	0.42	0.596
GO:0009893	MED14	0.45	0.364
GO:0009893	GTF3C4	0.24	0.755
GO:0009893	ROCK2	0.51	0.00105
GO:0044260	PRPF8	0.43	0.842
GO:0044260	CENPF	0.43	0.603
GO:0044260	POLQ	0.39	0.211
GO:0044260	MAN1A2	0.31	0.771
GO:0044260	ASCC3	0.46	0.617
GO:0044260	ALPK2	0.29	0.828
GO:0044260	COL7A1	1.24	3.41e-35
GO:0044260	CREBBP	0.39	0.779
GO:0044260	VCAN	0.45	0.475
GO:0044260	EGFR	0.39	0.7
GO:0044260	ZFC3H1	0.34	0.76
GO:0044260	ABCA2	0.35	0.748
GO:0044260	LMTK2	0.32	0.735
GO:0044260	FLNA	0.45	0.728
GO:0044260	PDS5A	0.49	0.486
GO:0044260	UBR2	0.35	0.681
GO:0044260	USP24	0.4	0.742
GO:0044260	CBX5	0.39	0.396
GO:0044260	SRRM2	0.27	0.837
GO:0044260	FOSB	0.57	0.00324
GO:0044260	RNF169	0.37	0.721
GO:0044260	DIEXF	0.36	0.497
GO:0044260	AFF4	0.22	0.808
GO:0044260	TNRC6A	0.35	0.788
GO:0044260	GTF3C1	0.39	0.803
GO:0044260	HIVEP1	0.37	0.704
GO:0044260	HIVEP2	0.47	0.724
GO:0044260	NR4A1	0.42	0.186
GO:0044260	ZKSCAN2	0.42	0.348
GO:0044260	MKI67	0.62	0.000134
GO:0044260	NF1	0.47	0.588
GO:0044260	NKTR	0.36	0.717
GO:0044260	NOTCH2	0.43	0.438
GO:0044260	NUP98	0.65	3.76e-13
GO:0044260	PAPPA	1.1	0
GO:0044260	UBR5	0.33	0.235
GO:0044260	PIK3CA	0.36	0.507
GO:0044260	SSH1	0.33	0.713
GO:0044260	PHIP	0.47	0.331
GO:0044260	PRKCA	0.24	0.781
GO:0044260	PRKDC	0.36	0.732
GO:0044260	KIDINS220	0.39	0.81
GO:0044260	CHD8	0.55	0.000505
GO:0044260	PTPN14	0.38	0.818
GO:0044260	RAB3B	0.41	0.63
GO:0044260	REV3L	0.34	0.257
GO:0044260	SON	0.38	0.832
GO:0044260	SPTAN1	0.31	0.695
GO:0044260	SPTBN1	0.41	0.642
GO:0044260	BRCA2	0.4	0.424
GO:0044260	TEAD1	0.61	0
GO:0044260	THBS1	0.83	0
GO:0044260	TLN1	0.45	0.844
GO:0044260	TPR	0.36	0.709
GO:0044260	NRIP1	0.23	0.79
GO:0044260	USP9X	0.31	0.813
GO:0044260	FZD4	0.32	0.691
GO:0044260	SMARCA5	0.43	0.0787
GO:0044260	DOCK7	0.35	0.786
GO:0044260	HELZ2	0.39	0.546
GO:0044260	CBL	0.42	0.623
GO:0044260	IQGAP1	0.35	0.797
GO:0044260	HERC2	0.42	0.596
GO:0044260	DSEL	0.3	0.833
GO:0044260	MED14	0.45	0.364
GO:0044260	GTF3C4	0.24	0.755
GO:0044260	ROCK2	0.51	0.00105
GO:0044260	USP34	0.29	0.766
GO:0001649	VCAN	0.45	0.475
GO:0001649	FASN	0.55	1.36e-09
GO:0001649	FBN2	0.62	0.00756
GO:0001649	DNAJC13	0.34	0.806
GO:0001649	TNC	0.45	0.776
GO:0001649	NF1	0.47	0.588
GO:0007178	FBN1	0.31	0.841
GO:0007178	FBN2	0.62	0.00756
GO:0007178	SPTBN1	0.41	0.642
GO:0007178	THBS1	0.83	0
GO:0007178	USP9X	0.31	0.813
GO:0007178	CBL	0.42	0.623
GO:0034330	FLNA	0.45	0.728
GO:0034330	FLNC	0.41	0.84
GO:0034330	PRKCA	0.24	0.781
GO:0034330	THBS1	0.83	0
GO:0034330	TLN1	0.45	0.844
GO:0034330	ROCK2	0.51	0.00105
GO:0051094	FBN2	0.62	0.00756
GO:0051094	FLNA	0.45	0.728
GO:0051094	PRKCA	0.24	0.781
GO:0051094	PRKDC	0.36	0.732
GO:0051094	KIDINS220	0.39	0.81
GO:0051094	THBS1	0.83	0
GO:0010557	CREBBP	0.39	0.779
GO:0010557	EGFR	0.39	0.7
GO:0010557	FOSB	0.57	0.00324
GO:0010557	NR4A1	0.42	0.186
GO:0010557	PHIP	0.47	0.331
GO:0010557	PRKDC	0.36	0.732
GO:0010557	CHD8	0.55	0.000505
GO:0010557	BRCA2	0.4	0.424
GO:0010557	THBS1	0.83	0
GO:0010557	NRIP1	0.23	0.79
GO:0010557	FZD4	0.32	0.691
GO:0010557	HELZ2	0.39	0.546
GO:0010557	MED14	0.45	0.364
GO:0061024	ASCC3	0.46	0.617
GO:0061024	COL5A1	0.42	0.654
GO:0061024	EGFR	0.39	0.7
GO:0061024	FLNA	0.45	0.728
GO:0061024	ATP11A	0.23	0.801
GO:0061024	MYH10	0.44	0.823
GO:0061024	NUP98	0.65	3.76e-13
GO:0061024	PRKCA	0.24	0.781
GO:0061024	SPTBN1	0.41	0.642
GO:0061024	THBS1	0.83	0
GO:0061024	TPR	0.36	0.709
GO:0061024	CACNA1A	0.41	0.38
GO:0061024	ROCK2	0.51	0.00105
GO:2000026	CENPF	0.43	0.603
GO:2000026	COL5A1	0.42	0.654
GO:2000026	FBN2	0.62	0.00756
GO:2000026	LRP1	0.43	0.107
GO:2000026	NF1	0.47	0.588
GO:2000026	SSH1	0.33	0.713
GO:2000026	PRKCA	0.24	0.781
GO:2000026	KIDINS220	0.39	0.81
GO:2000026	BRCA2	0.4	0.424
GO:2000026	THBS1	0.83	0
GO:2000026	CACNA1A	0.41	0.38
GO:2000026	DOCK7	0.35	0.786
GO:2000026	ROCK2	0.51	0.00105
GO:0010629	CENPF	0.43	0.603
GO:0010629	CREBBP	0.39	0.779
GO:0010629	FLNA	0.45	0.728
GO:0010629	UBR2	0.35	0.681
GO:0010629	CBX5	0.39	0.396
GO:0010629	FOSB	0.57	0.00324
GO:0010629	TNRC6A	0.35	0.788
GO:0010629	HIVEP1	0.37	0.704
GO:0010629	CHD8	0.55	0.000505
GO:0010629	THBS1	0.83	0
GO:0010629	TPR	0.36	0.709
GO:0010629	NRIP1	0.23	0.79
GO:0010629	USP9X	0.31	0.813
GO:0010629	SMARCA5	0.43	0.0787
GO:0071495	EGFR	0.39	0.7
GO:0071495	FBN1	0.31	0.841
GO:0071495	FBN2	0.62	0.00756
GO:0071495	UBR2	0.35	0.681
GO:0071495	FOSB	0.57	0.00324
GO:0071495	TNRC6A	0.35	0.788
GO:0071495	NR4A1	0.42	0.186
GO:0071495	NF1	0.47	0.588
GO:0071495	PIK3CA	0.36	0.507
GO:0071495	SSH1	0.33	0.713
GO:0071495	PHIP	0.47	0.331
GO:0071495	PRKCA	0.24	0.781
GO:0071495	PRKDC	0.36	0.732
GO:0071495	KIDINS220	0.39	0.81
GO:0071495	SPTAN1	0.31	0.695
GO:0071495	SPTBN1	0.41	0.642
GO:0071495	THBS1	0.83	0
GO:0071495	NRIP1	0.23	0.79
GO:0071495	USP9X	0.31	0.813
GO:0071495	CBL	0.42	0.623
GO:0071495	IQGAP1	0.35	0.797
GO:0071495	ROCK2	0.51	0.00105
GO:0000122	CREBBP	0.39	0.779
GO:0000122	FOSB	0.57	0.00324
GO:0000122	HIVEP1	0.37	0.704
GO:0000122	CHD8	0.55	0.000505
GO:0000122	TPR	0.36	0.709
GO:0000122	NRIP1	0.23	0.79
GO:0000122	USP9X	0.31	0.813
GO:0001503	VCAN	0.45	0.475
GO:0001503	EGFR	0.39	0.7
GO:0001503	FASN	0.55	1.36e-09
GO:0001503	FBN2	0.62	0.00756
GO:0001503	DNAJC13	0.34	0.806
GO:0001503	TNC	0.45	0.776
GO:0001503	NF1	0.47	0.588
GO:0001667	AMOTL1	0.3	0.792
GO:0001667	NR4A1	0.42	0.186
GO:0001667	NF1	0.47	0.588
GO:0001667	PIK3CA	0.36	0.507
GO:0001667	PRKCA	0.24	0.781
GO:0001667	THBS1	0.83	0
GO:0001667	ROCK2	0.51	0.00105
GO:0010631	AMOTL1	0.3	0.792
GO:0010631	NR4A1	0.42	0.186
GO:0010631	NF1	0.47	0.588
GO:0010631	PIK3CA	0.36	0.507
GO:0010631	PRKCA	0.24	0.781
GO:0010631	THBS1	0.83	0
GO:0010631	ROCK2	0.51	0.00105
GO:0034097	CREBBP	0.39	0.779
GO:0034097	FASN	0.55	1.36e-09
GO:0034097	FLNB	0.39	0.794
GO:0034097	KPNA4	0.32	0.58
GO:0034097	NUP98	0.65	3.76e-13
GO:0034097	PRKCA	0.24	0.781
GO:0034097	TPR	0.36	0.709
GO:0048598	COL5A1	0.42	0.654
GO:0048598	COL7A1	1.24	3.41e-35
GO:0048598	CREBBP	0.39	0.779
GO:0048598	FBN1	0.31	0.841
GO:0048598	FBN2	0.62	0.00756
GO:0048598	ITGA2	0.37	0.671
GO:0048598	LUZP1	0.32	0.783
GO:0050673	EGFR	0.39	0.7
GO:0050673	NR4A1	0.42	0.186
GO:0050673	MKI67	0.62	0.000134
GO:0050673	NF1	0.47	0.588
GO:0050673	PRKCA	0.24	0.781
GO:0050673	BRCA2	0.4	0.424
GO:0050673	THBS1	0.83	0
GO:0090130	AMOTL1	0.3	0.792
GO:0090130	NR4A1	0.42	0.186
GO:0090130	NF1	0.47	0.588
GO:0090130	PIK3CA	0.36	0.507
GO:0090130	PRKCA	0.24	0.781
GO:0090130	THBS1	0.83	0
GO:0090130	ROCK2	0.51	0.00105
GO:0090132	AMOTL1	0.3	0.792
GO:0090132	NR4A1	0.42	0.186
GO:0090132	NF1	0.47	0.588
GO:0090132	PIK3CA	0.36	0.507
GO:0090132	PRKCA	0.24	0.781
GO:0090132	THBS1	0.83	0
GO:0090132	ROCK2	0.51	0.00105
GO:0032501	FRY	0.29	0.745
GO:0032501	CENPF	0.43	0.603
GO:0032501	POLQ	0.39	0.211
GO:0032501	MAN1A2	0.31	0.771
GO:0032501	LYST	0.31	0.572
GO:0032501	COL5A1	0.42	0.654
GO:0032501	COL7A1	1.24	3.41e-35
GO:0032501	VCAN	0.45	0.475
GO:0032501	EGFR	0.39	0.7
GO:0032501	FASN	0.55	1.36e-09
GO:0032501	FBN1	0.31	0.841
GO:0032501	SIPA1L3	0.36	0.774
GO:0032501	FLNA	0.45	0.728
GO:0032501	FLNB	0.39	0.794
GO:0032501	VPS13A	0.45	0.277
GO:0032501	UBR2	0.35	0.681
GO:0032501	DNAJC13	0.34	0.806
GO:0032501	CBX5	0.39	0.396
GO:0032501	FOSB	0.57	0.00324
GO:0032501	SLC7A11	0.35	0.822
GO:0032501	DIEXF	0.36	0.497
GO:0032501	AFF4	0.22	0.808
GO:0032501	TMOD2	0.4	0.537
GO:0032501	HIVEP1	0.37	0.704
GO:0032501	HIVEP2	0.47	0.724
GO:0032501	NR4A1	0.42	0.186
GO:0032501	TNC	0.45	0.776
GO:0032501	ITGA2	0.37	0.671
GO:0032501	LRP1	0.43	0.107
GO:0032501	MKI67	0.62	0.000134
GO:0032501	MYH10	0.44	0.823
GO:0032501	NF1	0.47	0.588
GO:0032501	NOTCH2	0.43	0.438
GO:0032501	NUMA1	0.34	0.845
GO:0032501	PAPPA	1.1	0
GO:0032501	PIK3CA	0.36	0.507
GO:0032501	PLXNA1	0.13	0.836
GO:0032501	SSH1	0.33	0.713
GO:0032501	CHD8	0.55	0.000505
GO:0032501	PTPN14	0.38	0.818
GO:0032501	SLC5A3	0.54	0.0522
GO:0032501	SPTAN1	0.31	0.695
GO:0032501	BRCA2	0.4	0.424
GO:0032501	TLN1	0.45	0.844
GO:0032501	CACNA1A	0.41	0.38
GO:0032501	LUZP1	0.32	0.783
GO:0032501	NRIP1	0.23	0.79
GO:0032501	USP9X	0.31	0.813
GO:0032501	FZD4	0.32	0.691
GO:0032501	DOCK7	0.35	0.786
GO:0032501	IQGAP1	0.35	0.797
GO:0032501	HERC2	0.42	0.596
GO:0032501	MED14	0.45	0.364
GO:0043170	PRPF8	0.43	0.842
GO:0043170	CENPF	0.43	0.603
GO:0043170	POLQ	0.39	0.211
GO:0043170	MAN1A2	0.31	0.771
GO:0043170	ASCC3	0.46	0.617
GO:0043170	ALPK2	0.29	0.828
GO:0043170	COL5A1	0.42	0.654
